./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,2038,2000,202,5,0,0,1,107,45,0.8563670592992395,1.0,1.0,0.8563722736375565
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,2221,2000,196,4,3,1,2,112,45,0.855009975349399,1.0,1.0,0.8550083001078611
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,2434,2000,218,2,3,3,3,134,49,0.8544266657099837,1.0,1.0,0.8544215395514125
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,2586,2000,216,2,1,1,1,128,54,0.8536600790201687,0.999505,1.0,0.854079725796081
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,2768,2000,192,1,2,0,2,129,51,0.8548466744150642,1.0,1.0,0.8548450423843462
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,2920,2000,214,4,4,1,3,106,60,0.8544259714867257,0.999505,1.0,0.854871297280837
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,122,2000,137,1,2,2,0,136,54,0.7268323000000113,0.99901,0.7275550000000113,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,274,2000,207,0,1,1,0,114,52,0.7178616666666839,1.0,0.7178616666666839,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,791,2000,218,3,2,5,3,142,52,0.7261450000000137,1.0,0.7261450000000137,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,913,2000,221,3,2,1,3,136,42,0.7152706666666868,1.0,0.7152706666666868,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,1278,2000,212,1,0,5,4,133,41,0.7205269833333523,0.999505,0.7208883333333523,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,1673,2000,192,1,1,2,3,127,46,0.7128839421674711,1.0,0.7128839421674711,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,2038,2000,212,1,0,0,2,129,50,0.7203949785365311,0.999505,0.7207563285365312,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,2221,2000,205,2,2,1,2,129,43,0.7154410000000194,0.999505,0.7157875000000194,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,2434,2000,182,2,0,4,2,119,47,0.7150366666666852,1.0,0.7150366666666852,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,2586,2000,203,1,2,4,0,127,37,0.7322043333333441,1.0,0.7322043333333441,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,2768,2000,200,1,3,1,2,138,49,0.7331770000000121,1.0,0.7331770000000121,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run2_rep0_counts.csv,2920,2000,192,0,0,1,2,125,51,0.7129184366358077,0.999505,0.7132649366358077,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,122,2000,106,0,4,4,0,122,36,0.6350130579271052,0.999505,0.7208950000000174,0.8813078123595264
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,274,2000,175,2,0,2,3,97,48,0.6253098900261124,0.999505,0.713447338434467,0.8768779658739213
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,791,2000,198,4,3,3,2,128,39,0.6299422119626785,0.999505,0.727501666666681,0.8663274886354497
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,913,2000,212,2,1,0,2,128,40,0.6458341818159667,0.999505,0.7477540000000006,0.8641638748851589
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,1278,2000,211,3,1,1,0,126,35,0.6132268340169471,0.999505,0.7154950000000193,0.8574965375646242
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,1673,2000,185,2,1,0,1,121,37,0.6228018755455618,1.0,0.7289400000000125,0.8544756231651879
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,2038,2000,230,6,3,3,5,118,45,0.6182399782870173,1.0,0.7326216666666766,0.8439004547806772
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,2221,2000,187,1,2,2,1,138,48,0.6083091882275989,0.999505,0.7234693147750466,0.841279771689984
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,2434,2000,213,1,2,6,3,97,36,0.5950845389872401,1.0,0.7091500000000229,0.8391340867584937
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,2586,2000,185,1,0,3,2,118,44,0.6047181868929495,1.0,0.7224783333333503,0.8370149984199077
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,2768,2000,216,7,3,1,2,131,54,0.6051185735319887,1.0,0.725841952988295,0.8337204825640783
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run2_rep0_counts.csv,2920,2000,153,4,2,1,2,113,54,0.6025502245334599,1.0,0.7222600000000169,0.8342508818280733
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,122,2000,129,2,1,0,0,133,55,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,274,2000,188,3,4,6,5,125,50,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,791,2000,189,3,5,4,3,137,50,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,913,2000,182,0,2,1,1,109,47,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,1278,2000,220,2,3,4,2,118,51,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,1673,2000,188,1,0,4,2,129,51,0.99901,0.99901,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,2038,2000,208,6,0,2,4,128,43,0.99901,0.99901,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,2221,2000,200,4,5,4,1,113,34,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,2434,2000,195,0,0,1,5,130,50,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,2586,2000,216,2,4,5,4,136,49,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,2768,2000,224,4,4,4,2,115,47,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run2_rep0_counts.csv,2920,2000,202,1,0,1,1,120,48,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,122,2000,139,3,2,3,2,122,49,0.633101674944009,1.0,0.7183150000000181,0.8813993839415294
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,274,2000,181,2,4,2,3,116,49,0.6607367402594814,0.99901,0.7581599999999953,0.8724278697379676
